text,label
"Subject: Project Status Update - Phase 2

Attached is the draft of the project documentation for next week's launch. Let me know if you have any feedback. Sent from my device. Ticket #57320.",0
"Subject: Action Required: Update your billing information

Important notification from HR department. View the document at: http://hr-announcements-doc.icu Ref Code: 1258.",1
"Subject: Action Required: Update your billing information

Please review the attached invoice details and resolve the payment by clicking this link: http://invoice-viewer-download.online Ref Code: 5092.",1
"Subject: Vacation approval notification

Here is the slide deck for the upcoming design review. Looking forward to your thoughts and suggestions. Sent from my device. Ticket #16390.",0
"Subject: Crypto alert: Double your investments today

Your account will be terminated in 24 hours due to non-compliance. Update details here: http://abc-support-upgrade-portal.net Ref Code: 4249.",1
"Subject: Weekly Team Sync Meeting

Please note that the corporate VPN server will undergo scheduled updates this Friday night. No action is required. Sent from my device. Ticket #36834.",0
"Subject: Invoice payment overdue - Action required

Please review the attached invoice details and resolve the payment by clicking this link: http://invoice-viewer-download.online Ref Code: 8073.",1
"Subject: HR: Mandatory safety update and verification link

Urgent system patch required. Download and run this update: http://system-update-downloader.cc/patch.exe Ref Code: 8471.",1
"Subject: Quarterly financial report review

Don't forget to submit your weekly timesheet by today at 5 PM to ensure prompt payroll processing. Sent from my device. Ticket #19832.",0
"Subject: Expense report approved for trip

Your expense report for the Seattle developer conference has been processed and approved. Funds will transfer in 3 business days. Sent from my device. Ticket #65606.",0
"Subject: Vacation approval notification

Your expense report for the Seattle developer conference has been processed and approved. Funds will transfer in 3 business days. Sent from my device. Ticket #78558.",0
"Subject: Crypto alert: Double your investments today

Your password expires today. Click here to keep your current password: http://reset-password-now.com Ref Code: 8036.",1
"Subject: Expense report approved for trip

Your expense report for the Seattle developer conference has been processed and approved. Funds will transfer in 3 business days. Sent from my device. Ticket #25784.",0
"Subject: Confirm your password change request

We detected suspicious login attempts from a foreign IP. Please click the link to confirm your identity: http://secure-verify-abc-login.com/auth Ref Code: 4653.",1
"Subject: Invoice payment overdue - Action required

Your cloud subscription renewal failed. Update your credit card details immediately: http://cloud-portal-payment-update.top Ref Code: 4747.",1
"Subject: Tech Talk: Intro to Machine Learning

Your expense report for the Seattle developer conference has been processed and approved. Funds will transfer in 3 business days. Sent from my device. Ticket #33524.",0
